episode/Q-Error,episode/Return,epoch,step,training_epoch_average
0.01910409459302187,,0,49,
0.0006582741625495765,,0,99,
0.019012015548576972,,0,149,
0.018669742630911073,,0,199,
0.0006078385719409415,,0,249,
0.0006175916641950607,,0,299,
0.0007023604121059179,,0,349,
0.019664747640490532,,0,399,
0.018840884565288842,,0,449,
0.0005286303348839283,,0,499,
0.018230893770105432,,0,549,
0.01865033246576786,,0,599,
0.03451817007516781,,0,649,
0.00047089598956517875,,0,699,
0.0005639682295057385,,0,749,
0.00046208559069782495,,0,799,
0.0015772874793680957,,0,849,
0.018644286319613457,,0,899,
0.016734648495912552,,0,949,
0.03676198050379753,,0,999,
0.017414787784218788,,0,1049,
0.0006358878454193473,,0,1099,
0.0005805784021504223,,0,1149,
0.01773366890847683,,0,1199,
0.018001629039645195,,0,1249,
0.0005818028002977371,,0,1299,
0.01761417038364182,,0,1349,
0.0329355200534409,,0,1399,
0.0011053235227602306,,0,1449,
0.017064863815903664,,0,1499,
0.0013149009702764325,,0,1549,
0.01804972253739834,,0,1599,
0.0007553599425591528,,0,1649,
0.03412731947033793,,0,1699,
0.0005345721147023141,,0,1749,
0.019462210889604505,,0,1799,
0.0009618747280910611,,0,1849,
0.000519177527166903,,0,1899,
0.012706458568572998,,0,1949,
0.014301364179821335,,0,1999,
0.017072657123208046,,0,2049,
0.016474567414518283,,0,2099,
0.01843888917804289,,0,2149,
0.035003405064344406,,0,2199,
0.0004563378752209246,,0,2249,
0.01620139367878437,,0,2299,
0.01801377348601818,,0,2349,
0.022509835205561317,,0,2399,
0.0008769853739067912,,0,2449,
0.0005100533016957343,,0,2499,
0.010840936250685728,,0,2549,
0.0013600836973637342,,0,2599,
0.010993586853146553,,0,2649,
0.0172734372317791,,0,2699,
0.01712379896840319,,0,2749,
0.012976800852149731,,0,2799,
0.000514952524099499,,0,2849,
0.03624717853616754,,0,2899,
0.0031275961082428694,,0,2949,
0.0005550948553718626,,0,2999,
0.0008879783432107005,,0,3049,
0.019641930237412453,,0,3099,
0.018975161517476708,,0,3149,
0.0013122610251367615,,0,3199,
0.00034526069066487253,,0,3249,
0.0007394404383376241,,0,3299,
0.04152002818676262,,0,3349,
0.017496328800916672,,0,3399,
0.0007658732356503606,,0,3449,
